"","id_file","total_rows","total_inputs","primitive_set","d","num_examples","function","correct_outputs","incorrect_outputs","accuracy","time"
"1","joinWithAt","5","2","dates.txt","2","1","","0","4","0","3.23953175544739"
"2","joinWithAt","5","2","dates.txt","3","1","","0","4","0","3.63900876045227"
"3","joinWithAt","5","2","dates.txt","4","1","","0","4","0","4.73465371131897"
"4","joinWithAt","5","2","dates.txt","5","1","","0","4","0","29.29465675354"
"5","joinWithAt","5","2","emails.txt","2","1","","0","4","0","3.56990194320679"
"6","joinWithAt","5","2","emails.txt","3","1","","0","4","0","3.46677780151367"
"7","joinWithAt","5","2","emails.txt","4","1","","0","4","0","4.04108476638794"
"8","joinWithAt","5","2","emails.txt","5","1","joinStringsWithAt a (prepend dotcom b)","4","0","1","19.217512845993"
"9","joinWithAt","5","2","general.txt","2","1","","0","4","0","3.30439901351929"
"10","joinWithAt","5","2","general.txt","3","1","","0","4","0","3.22096371650696"
"11","joinWithAt","5","2","general.txt","4","1","","0","4","0","3.37408423423767"
"12","joinWithAt","5","2","general.txt","5","1","","0","4","0","3.22395825386047"
"13","joinWithAt","5","2","names.txt","2","1","","0","4","0","3.25988960266113"
"14","joinWithAt","5","2","names.txt","3","1","","0","4","0","3.43273496627808"
"15","joinWithAt","5","2","names.txt","4","1","","0","4","0","4.53296422958374"
"16","joinWithAt","5","2","names.txt","5","1","","0","4","0","34.1703307628632"
"17","joinWithAt","5","2","original.txt","2","1","","0","4","0","3.80149126052856"
"18","joinWithAt","5","2","original.txt","3","1","","0","4","0","3.6655285358429"
"19","joinWithAt","5","2","original.txt","4","1","","0","4","0","4.45099329948425"
"20","joinWithAt","5","2","original.txt","5","1","","0","4","0","11.8511598110199"
"21","joinWithAt","5","2","words.txt","2","1","","0","4","0","3.53962731361389"
"22","joinWithAt","5","2","words.txt","3","1","","0","4","0","3.30347466468811"
"23","joinWithAt","5","2","words.txt","4","1","","0","4","0","4.38191819190979"
"24","joinWithAt","5","2","words.txt","5","1","","0","4","0","26.276109457016"
"25","joinWithAt","5","2","dates.txt","2","2","","0","4","0","3.2288932800293"
"26","joinWithAt","5","2","dates.txt","3","2","","0","4","0","3.43229222297668"
"27","joinWithAt","5","2","dates.txt","4","2","","0","4","0","4.683345079422"
"28","joinWithAt","5","2","dates.txt","5","2","","0","4","0","30.1088213920593"
"29","joinWithAt","5","2","emails.txt","2","2","","0","4","0","3.8410062789917"
"30","joinWithAt","5","2","emails.txt","3","2","","0","4","0","3.26144695281982"
"31","joinWithAt","5","2","emails.txt","4","2","","0","4","0","4.23445820808411"
"32","joinWithAt","5","2","emails.txt","5","2","joinStringsWithAt a (prepend dotcom b)","4","0","1","18.703024148941"
"33","joinWithAt","5","2","general.txt","2","2","","0","4","0","3.36647319793701"
"34","joinWithAt","5","2","general.txt","3","2","","0","4","0","3.45767116546631"
"35","joinWithAt","5","2","general.txt","4","2","","0","4","0","3.51843810081482"
"36","joinWithAt","5","2","general.txt","5","2","","0","4","0","3.18735480308533"
"37","joinWithAt","5","2","names.txt","2","2","","0","4","0","3.31054711341858"
"38","joinWithAt","5","2","names.txt","3","2","","0","4","0","3.52983283996582"
"39","joinWithAt","5","2","names.txt","4","2","","0","4","0","4.39303851127625"
"40","joinWithAt","5","2","names.txt","5","2","","0","4","0","33.8489174842834"
"41","joinWithAt","5","2","original.txt","2","2","","0","4","0","3.49396634101868"
"42","joinWithAt","5","2","original.txt","3","2","","0","4","0","3.52504777908325"
"43","joinWithAt","5","2","original.txt","4","2","","0","4","0","4.22485208511353"
"44","joinWithAt","5","2","original.txt","5","2","","0","4","0","12.5766358375549"
"45","joinWithAt","5","2","words.txt","2","2","","0","4","0","3.15566635131836"
"46","joinWithAt","5","2","words.txt","3","2","","0","4","0","3.63226056098938"
"47","joinWithAt","5","2","words.txt","4","2","","0","4","0","4.25895762443542"
"48","joinWithAt","5","2","words.txt","5","2","","0","4","0","26.5103280544281"
"49","joinWithAt","5","2","dates.txt","2","3","","0","4","0","3.34372329711914"
"50","joinWithAt","5","2","dates.txt","3","3","","0","4","0","3.55002975463867"
"51","joinWithAt","5","2","dates.txt","4","3","","0","4","0","4.88197994232178"
"52","joinWithAt","5","2","dates.txt","5","3","","0","4","0","29.381320476532"
"53","joinWithAt","5","2","emails.txt","2","3","","0","4","0","3.32040071487427"
"54","joinWithAt","5","2","emails.txt","3","3","","0","4","0","3.50909233093262"
"55","joinWithAt","5","2","emails.txt","4","3","","0","4","0","4.22182059288025"
"56","joinWithAt","5","2","emails.txt","5","3","joinStringsWithAt a (prepend dotcom b)","4","0","1","19.1007900238037"
"57","joinWithAt","5","2","general.txt","2","3","","0","4","0","3.16935515403748"
"58","joinWithAt","5","2","general.txt","3","3","","0","4","0","3.20381593704224"
"59","joinWithAt","5","2","general.txt","4","3","","0","4","0","3.19820809364319"
"60","joinWithAt","5","2","general.txt","5","3","","0","4","0","3.14774227142334"
"61","joinWithAt","5","2","names.txt","2","3","","0","4","0","3.32643818855286"
"62","joinWithAt","5","2","names.txt","3","3","","0","4","0","3.2995297908783"
"63","joinWithAt","5","2","names.txt","4","3","","0","4","0","4.57602214813232"
"64","joinWithAt","5","2","names.txt","5","3","","0","4","0","33.8830614089966"
"65","joinWithAt","5","2","original.txt","2","3","","0","4","0","3.59332466125488"
"66","joinWithAt","5","2","original.txt","3","3","","0","4","0","3.40867209434509"
"67","joinWithAt","5","2","original.txt","4","3","","0","4","0","4.27836036682129"
"68","joinWithAt","5","2","original.txt","5","3","","0","4","0","10.6592447757721"
"69","joinWithAt","5","2","words.txt","2","3","","0","4","0","2.94669771194458"
"70","joinWithAt","5","2","words.txt","3","3","","0","4","0","3.39598798751831"
"71","joinWithAt","5","2","words.txt","4","3","","0","4","0","4.5536060333252"
"72","joinWithAt","5","2","words.txt","5","3","","0","4","0","25.8225250244141"
"73","joinWithAt","5","2","dates.txt","2","4","","0","4","0","3.34922051429749"
"74","joinWithAt","5","2","dates.txt","3","4","","0","4","0","3.89503812789917"
"75","joinWithAt","5","2","dates.txt","4","4","","0","4","0","4.95531916618347"
"76","joinWithAt","5","2","dates.txt","5","4","","0","4","0","27.7789437770844"
"77","joinWithAt","5","2","emails.txt","2","4","","0","4","0","3.42380023002625"
"78","joinWithAt","5","2","emails.txt","3","4","","0","4","0","3.57410550117493"
"79","joinWithAt","5","2","emails.txt","4","4","","0","4","0","4.2176194190979"
"80","joinWithAt","5","2","emails.txt","5","4","joinStringsWithAt a (prepend dotcom b)","4","0","1","18.8349320888519"
"81","joinWithAt","5","2","general.txt","2","4","","0","4","0","3.17427825927734"
"82","joinWithAt","5","2","general.txt","3","4","","0","4","0","3.42772459983826"
"83","joinWithAt","5","2","general.txt","4","4","","0","4","0","3.33267283439636"
"84","joinWithAt","5","2","general.txt","5","4","","0","4","0","3.42947244644165"
"85","joinWithAt","5","2","names.txt","2","4","","0","4","0","3.29442667961121"
"86","joinWithAt","5","2","names.txt","3","4","","0","4","0","3.35248994827271"
"87","joinWithAt","5","2","names.txt","4","4","","0","4","0","4.57410621643066"
"88","joinWithAt","5","2","names.txt","5","4","","0","4","0","34.3231582641602"
"89","joinWithAt","5","2","original.txt","2","4","","0","4","0","3.5245509147644"
"90","joinWithAt","5","2","original.txt","3","4","","0","4","0","3.44944953918457"
"91","joinWithAt","5","2","original.txt","4","4","","0","4","0","4.45891237258911"
"92","joinWithAt","5","2","original.txt","5","4","","0","4","0","10.8621025085449"
"93","joinWithAt","5","2","words.txt","2","4","","0","4","0","3.31278443336487"
"94","joinWithAt","5","2","words.txt","3","4","","0","4","0","3.41657876968384"
"95","joinWithAt","5","2","words.txt","4","4","","0","4","0","4.45016503334045"
"96","joinWithAt","5","2","words.txt","5","4","","0","4","0","26.623685836792"
"97","joinWithAt","5","2","dates.txt","2","5","","0","4","0","3.37885046005249"
"98","joinWithAt","5","2","dates.txt","3","5","","0","4","0","3.54314517974854"
"99","joinWithAt","5","2","dates.txt","4","5","","0","4","0","4.72041869163513"
"100","joinWithAt","5","2","dates.txt","5","5","","0","4","0","31.14679479599"
"101","joinWithAt","5","2","emails.txt","2","5","","0","4","0","3.18293976783752"
"102","joinWithAt","5","2","emails.txt","3","5","","0","4","0","3.63909196853638"
"103","joinWithAt","5","2","emails.txt","4","5","","0","4","0","4.23645710945129"
"104","joinWithAt","5","2","emails.txt","5","5","joinStringsWithAt a (prepend dotcom b)","4","0","1","18.9466836452484"
"105","joinWithAt","5","2","general.txt","2","5","","0","4","0","3.34979844093323"
"106","joinWithAt","5","2","general.txt","3","5","","0","4","0","3.0433075428009"
"107","joinWithAt","5","2","general.txt","4","5","","0","4","0","3.32432723045349"
"108","joinWithAt","5","2","general.txt","5","5","","0","4","0","3.45750737190247"
"109","joinWithAt","5","2","names.txt","2","5","","0","4","0","3.19620633125305"
"110","joinWithAt","5","2","names.txt","3","5","","0","4","0","3.54670786857605"
"111","joinWithAt","5","2","names.txt","4","5","","0","4","0","4.3782970905304"
"112","joinWithAt","5","2","names.txt","5","5","","0","4","0","33.6638278961182"
"113","joinWithAt","5","2","original.txt","2","5","","0","4","0","3.45735812187195"
"114","joinWithAt","5","2","original.txt","3","5","","0","4","0","3.37942147254944"
"115","joinWithAt","5","2","original.txt","4","5","","0","4","0","4.37016129493713"
"116","joinWithAt","5","2","original.txt","5","5","","0","4","0","11.9939968585968"
"117","joinWithAt","5","2","words.txt","2","5","","0","4","0","3.47360277175903"
"118","joinWithAt","5","2","words.txt","3","5","","0","4","0","3.26369261741638"
"119","joinWithAt","5","2","words.txt","4","5","","0","4","0","4.44585061073303"
"120","joinWithAt","5","2","words.txt","5","5","","0","4","0","25.6136028766632"
